Borough,Facility Name,Cross Streets,Phone,Latitude,Longitude,Location
Brooklyn,Ida G. Israel Community Health Center,W. 22nd St. & W. 23rd St.,718-946-3400,40.57848832,-73.98949715,"2201 Neptune Avenue Brooklyn NY 11224 (40.578488319967°, -73.989497148121°)"
Queens,South Queens Community Health Center,,718-883-6699,40.67694526,-73.7753069,"114 02 Guy R Brewer Blvd Jamaica NY 11434 (40.676945262114°, -73.775306901692°)"
Bronx,Melrose Houses Child Health Clinic,between Morris Ave. & Courtlandt Ave.,718-292-2820,40.82130119,-73.91770979,"348 156th Street Bronx NY 10451 (40.821301194646°, -73.917709787212°)"
Bronx,Daniel Webster Houses Child Health Clinic,corner of Webster Ave.,718-538-2147,40.83227985,-73.9095346,"401 168th Street Bronx NY 10456 (40.832279848967°, -73.909534601874°)"
Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,,718-579-4000,40.81012186,-73.91681185,"545 142nd Street Bronx NY 10454 (40.810121864043°, -73.916811846348°)"
Queens,Parsons Communicare Clinic,between Jamaica Ave. & 90th Ave.,718-334-6401,40.71311535,-73.792821,"90 37 Parsons Boulevard Jamaica NY 11432 (40.71311535449°, -73.792820999789°)"
Queens,Queens Hospital Center,,718-883-3000,40.71311535,-73.792821,"82 68 164th Street Jamaica NY 11432 (40.71311535449°, -73.792820999789°)"
Queens,Elmhurst Hospital Center,,718-334-4000,40.7387104,-73.87835116,"79 01 Elmhurst NY 11373 (40.738710402563°, -73.878351155182°)"
Brooklyn,Cumberland Diagnostic & Treatment Center,,718-260-7500,40.69514358,-73.97623557,"100 Portland Avenue Brooklyn NY 11205 (40.695143584665°, -73.976235572166°)"
Queens,Junction Boulevard Child Health Clinic,between 34th Ave. & 35th Ave.,718-334-6150,40.75163074,-73.88361255,"34 33 Junction Boulevard Jackson Heights NY 11372 (40.751630739367°, -73.883612545283°)"
Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,40.70052661,-73.94164386,"760 Broadway Brooklyn NY 11206 (40.70052661478°, -73.941643858765°)"
Brooklyn,Eleanor Roosevelt Houses Child Health Clinic,between Lewis Ave. & Stuyvesant Ave.,718-452-1146,40.69392372,-73.93545688,"388 Pulaski Street Brooklyn NY 11206 (40.69392371549°, -73.935456875218°)"
Bronx,Jacobi Medical Center,,718-918-5000,40.8573971,-73.8465712,"1400 Pelham Parkway Bronx NY 10461 (40.857397104611°, -73.846571204087°)"
Manhattan,Metropolitan Hospital Center,,212-423-6262,40.78455702,-73.94379565,"1901 First Avenue New York NY 10029 (40.784557024105°, -73.943795653643°)"
Brooklyn,Bushwick Communicare,between Linden St. & Grove St.,718-573-4860,40.69473843,-73.91922392,"335 Central Avenue Brooklyn NY 11221 (40.694738427187°, -73.919223916666°)"
Brooklyn,Lafayette Houses Child Health Clinic,between Classon Ave. & Taffee Place,718-638-8258,40.69036663,-73.95978266,"434 Dekalb Avenue Brooklyn NY 11205 (40.690366628996°, -73.959782659483°)"
Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,40.6719625,-73.89520529,"2094 Pitkin Avenue Brooklyn NY 11207 (40.671962495107°, -73.89520529393°)"
Brooklyn,Williamsburg Child Health Clinic,between Power & Grand St.,718-387-2211,40.71210324,-73.94399407,"279 Graham Ave Brooklyn NY 11206 (40.712103238036°, -73.943994071543°)"
Bronx,North Central Bronx Hospital,,718-519-5000,40.88046337,-73.88159288,"3424 Kossuth Avenue Bronx NY 10467 (40.880463372456°, -73.881592877502°)"
Manhattan,Harlem Hospital Center,,212-939-1000,40.81427522,-73.94060283,"506 Lenox Avenue New York NY 10037 (40.814275217502°, -73.940602831291°)"
Manhattan,Sydenham Health Center,,212-932-6500,40.80933865,-73.94919748,"215 125th Street New York NY 10027 (40.809338651192°, -73.949197484073°)"
Brooklyn,Dr. Susan Smith McKinney Nursing and Rehabilitation Center,,718-245-7000,40.66005452,-73.9397615,"594 Albany Avenue Brooklyn NY 11203 (40.66005451681°, -73.939761495742°)"
Bronx,Lincoln Medical & Mental Health Center,,718-579-5000,40.81768848,-73.92420027,"234 149th Street Bronx NY 10451 (40.817688484049°, -73.924200271483°)"
Queens,Corona Child Health Clinic,between 104th St. & 106th St.,718-334-6100,40.74967822,-73.85304069,"104 04 Corona Avenue Corona NY 11368 (40.749678220374°, -73.853040688577°)"
Staten Island,Sea View Hospital Rehabilitation Center & Home,,718-317-3000,40.59795387,-74.13176633,"460 Brielle Avenue Staten Island NY 10314 (40.597953866387°, -74.131766325901°)"
Queens,Springfield Gardens Medical Center,,718-883-6800,40.66971118,-73.75087393,"134 64 Springfield Blvd Springfield Gardens NY 11413 (40.669711181226°, -73.750873933285°)"
Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,,718-579-4000,40.81090132,-73.91931316,"454 142nd Street Bronx NY 10454 (40.810901316477°, -73.919313161708°)"
Bronx,Morrisania Diagnostic & Treatment Center,,718-960-2777,40.83590639,-73.92003404,"1225 Gerard Avenue Bronx NY 10452 (40.835906387949°, -73.920034037019°)"
Manhattan,Renaissance Health Care Network Diagnostic & Treatment Center,,212-932-6500,40.80933865,-73.94919748,"215 125th Street New York NY 10027 (40.809338651192°, -73.949197484073°)"
Manhattan,Washington Heights Child Health Care Center,corner of Broadway,212-795-0880,40.84112788,-73.9399617,"600 168th Street New York NY 10032 (40.841127875341°, -73.939961696627°)"
Bronx,Jacobi Medical Center,,718-918-5000,40.8573971,-73.8465712,"1400 Pelham Parkway Bronx NY 10461 (40.857397104611°, -73.846571204087°)"
Brooklyn,Cumberland Diagnostic & Treatment Center,,718-260-7500,40.69514358,-73.97623557,"100 Portland Avenue Brooklyn NY 11205 (40.695143584665°, -73.976235572166°)"
Manhattan,Renaissance Health Care Network Diagnostic & Treatment Center,,212-932-6500,40.80933865,-73.94919748,"215 125 Street New York NY 10027 (40.809338651192°, -73.949197484073°)"
Brooklyn,Kings County Hospital Center,,718-245-3131,40.65576181,-73.94466262,"451 Clarkson Avenue Brooklyn NY 11203 (40.655761808605°, -73.944662615537°)"
Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Coler Campus,,212-848-6000,40.76197649,-73.94999967,"900 Main Street Roosevelt Island New York NY 10044 (40.761976486226°, -73.949999674945°)"
Brooklyn,Kings County Hospital Center,,718-245-3131,40.65576181,-73.94466262,"451 Clarkson Avenue Brooklyn NY 11203 (40.655761808605°, -73.944662615537°)"
Manhattan,Bellevue Hospital Center,,212-562-4141,40.73962321,-73.97657285,"462 First Avenue New York NY 10016 (40.73962320748°, -73.976572846645°)"
Manhattan,Roberto Clemente Health Center,,212-387-7400,40.72930119,-73.97991663,"540 13th Street New York NY 10009 (40.72930119329°, -73.979916628238°)"
Brooklyn,Jonathan Williams Houses Child Health Clinic,between Roebling Street & Division Ave.,718-387-6407,40.71536761,-73.95616582,"118 Roebling Street Brooklyn NY 11211 (40.715367609829°, -73.956165823569°)"
Manhattan,Grant Houses Clinic,,212-678-8420,40.81525566,-73.95843049,"3170 Broadway New York NY 10027 (40.815255660488°, -73.958430492697°)"
Manhattan,Dyckman Clinica De Las Americas,corner of Nagle Ave. and Dyckman St.,212-544-2001,40.86195794,-73.92380764,"175 Nagle Avenue New York NY 10034 (40.861957938597°, -73.92380763599°)"
Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,40.6719625,-73.89520529,"2094 Pitkin Avenue Brooklyn NY 11225 (40.671962495107°, -73.89520529393°)"
Brooklyn,Brownsville Child Health Clinic,between Dumont Ave. & Blake Ave.,718-495-7283,40.66491117,-73.91141092,"259 Bristol Street Brooklyn NY 11212 (40.664911170498°, -73.911410916321°)"
Brooklyn,Coney Island Hospital,,718-616-3000,40.58664543,-73.96583012,"2601 Ocean Parkway Brooklyn NY 11235 (40.586645433957°, -73.965830115778°)"
Brooklyn,Williamsburg Health Center,,718-963-7820,40.71210324,-73.94399407,"279 Graham Avenue Brooklyn NY 11211 (40.712103238036°, -73.943994071543°)"
Staten Island,Stapleton Child Health Clinic,between Water St. & Canal St.,718-390-0712,40.62657645,-74.07699447,"111 Canal Street Staten Island NY 10304 (40.626576449488°, -74.076994470087°)"
Queens,Elmhurst Hospital Center,,718-334-4000,40.7387104,-73.87835116,"79 01 Elmhurst NY 11373 (40.738710402563°, -73.878351155182°)"
Brooklyn,Homecrest Child Health Clinic,between E. 16th St. & E. 17th St.,718-339-6243,40.60123351,-73.94436854,"1601 Avenue Brooklyn NY 11229 (40.601233507321°, -73.944368541175°)"
Staten Island,Mariner's Harbor Houses Child Health Clinic,,718-761-2060,40.62609762,-74.1574749,"2040 Forest Avenue Staten Island NY 10303 (40.62609762251°, -74.157474896698°)"
Manhattan,Judson Health Center,,212-925-5000,40.72173569,-73.99571941,"34 Spring Street New York NY 10012 (40.721735692317°, -73.995719412648°)"
Manhattan,Metropolitan Hospital Center,,212-423-6262,40.78455702,-73.94379565,"1901 First Avenue New York NY 10029 (40.784557024105°, -73.943795653643°)"
Bronx,Gunhill Health Center,between Paulding Ave. & Hone Ave.,718-918-8850,40.87462601,-73.85788742,"1012 Gunhill Road Bronx NY 10469 (40.874626006887°, -73.857887416826°)"
Brooklyn,Greenpoint Community Health Center,,718-630-3220,40.72966561,-73.95404546,"875 Manhattan Avenue Brooklyn NY 11222 (40.729665609686°, -73.954045460054°)"
Queens,Queens Hospital Center,,718-883-3000,40.71311535,-73.792821,"82 70 164th Street Jamaica NY 11432 (40.71311535449°, -73.792820999789°)"
Manhattan,Gouverneur Healthcare Services,,212-238-7000,40.7128414,-73.98759853,"227 Madison Street New York NY 10002 (40.712841397448°, -73.987598534724°)"
Manhattan,Gouverneur Diagnostic & Treatment Center,,212-238-7200,40.7128414,-73.98759853,"227 Madison Street New York NY 10002 (40.712841397448°, -73.987598534724°)"
Manhattan,Gouverneur Healthcare Services,,212-238-7000,40.7128414,-73.98759853,"227 Madison Street New York NY 10002 (40.712841397448°, -73.987598534724°)"
Brooklyn,Fort Greene Child Health Clinic,between DeKalb Ave. & Willoughby Ave.,718-260-7500 ext. 7859,40.6920534,-73.98241302,"295 Flatbush Avenue Extension Brooklyn NY 11201 (40.692053402323°, -73.982413019989°)"
Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Goldwater Campus,,212-318-8000,40.76197649,-73.94999967,"1 Main St Roosevelt Island New York NY 10044 (40.761976486226°, -73.949999674945°)"
Manhattan,La Clinica Del Barrio,,212-410-7940,40.79820504,-73.93266795,"413 120th Street New York NY 10035 (40.798205044469°, -73.932667945174°)"
Brooklyn,Sutter Avenue Child Health Clinic,between Montauk Ave. & Atkins Ave.,718-647-0800,40.67189904,-73.87831882,"1091 Sutter Avenue Brooklyn NY 11208 (40.67189903622°, -73.878318817943°)"
Manhattan,Drew Hamilton Houses Health Center,between W. 143rd St. & W. 144th St.,212-939-8950,40.82213998,-73.94238975,"2698 Eighth Avenue New York NY 10030 (40.822139979421°, -73.942389748859°)"
Queens,Woodside Houses Child Health Clinic,between Northern Blvd. & 50th St.,718-334-6140,40.74519376,-73.90484714,"50 53 Newtown Road Woodside NY 11377 (40.745193764481°, -73.90484714408°)"
Bronx,Lincoln Medical and Mental Health Center,,718-579-5000,40.81768848,-73.92420027,"234 149th Street Bronx NY 10451 (40.817688484049°, -73.924200271483°)"
Manhattan,Harlem Hospital Center,,212-939-1000,40.81427522,-73.94060283,"506 Lenox Avenue New York NY 10037 (40.814275217502°, -73.940602831291°)"
Brooklyn,Coney Island Hospital,,718-616-3000,40.58664543,-73.96583012,"2601 Ocean Parkway Brooklyn NY 11235 (40.586645433957°, -73.965830115778°)"
Bronx,Health Center at Tremont,corner of 175th St.,718-918-8700,40.84400021,-73.89454872,"1826 Arthur Avenue Bronx NY 10457 (40.844000208275°, -73.894548724404°)"
Bronx,North Central Bronx Hospital,,718-519-5000,40.88046337,-73.88159288,"3424 Kossuth Avenue Bronx NY 10467 (40.880463372456°, -73.881592877502°)"
Brooklyn,Crown Heights Child Health Clinic,,718-735-0561,40.67349222,-73.9357017,"1218 Prospect Place Brooklyn NY 11213 (40.673492222873°, -73.935701697386°)"
Manhattan,Baruch Houses Family Health Center,corner of Columbia St.,212-673-5990,40.71636702,-73.98013566,"280 Delancey Street New York NY 10002 (40.716367017869°, -73.980135660503°)"
Manhattan,Manhattanville/St. Nicholas Houses Child Health Care Center,between A.C. Powell & F. Douglas Blvds.,212-865-1300,40.811277,-73.94965776,"281 127th Street New York NY 10027 (40.811276995393°, -73.949657755163°)"
Brooklyn,Sumner Avenue Houses Child Health Clinic,between Myrtle Ave. & Park Ave.,718-455-3884,40.69785529,-73.94100661,"47 Marcus Garvey Boulevard Brooklyn NY 11206 (40.697855287659°, -73.941006610822°)"
Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,40.70052661,-73.94164386,"760 Broadway Brooklyn NY 11206 (40.70052661478°, -73.941643858765°)"
Brooklyn,Bushwick Community Health Center,,718-919-1200,40.68430357,-73.90908239,"1420 Bushwick Avenue Brooklyn NY 11207 (40.684303566262°, -73.909082385178°)"
Manhattan,Bellevue Hospital Center,,212-562-4141,40.73962321,-73.97657285,"462 First Avenue New York NY 10016 (40.73962320748°, -73.976572846645°)"
Queens,Ridgewood Communicare Clinic,between Woodbine St. & Madison St.,718-334-6190,40.70294964,-73.90543309,"769 Onderdonk Avenue Ridgewood NY 11385 (40.702949636008°, -73.90543308997°)"
Manhattan,Smith Communicare Health Center,corner of Catherine St.,212-346-0500,40.71196973,-73.99754222,"60 Madison Street New York NY 10038 (40.711969729879°, -73.997542215578°)"
Bronx,Morrisania Diagnostic & Treatment Center,,718-960-2777,,,1225 Gerard Avenue Bronx NY 1045
