Rank,Population,Zip,Popularion Density,Population,Zip
1,46169,10028 ,"146,955.3/sq mi",46169,10028 
2,62447,10128 ,"132,677.4/sq mi",62447,10128 
3,24377,10075 ,"132,095.7/sq mi",24377,10075 
4,97373,10025 ,"129,548.9/sq mi",97373,10025 
5,60762,10023 ,"123,875.9/sq mi",60762,10023 
6,45278,10040 ,"120,133.3/sq mi",45278,10040 
7,38372,10026 ,"115,461.7/sq mi",38372,10026 
8,1252,10162 ,"110,137.5/sq mi",1252,10162 
9,42142,10021 ,"108,864.6/sq mi",42142,10021 
10,29530,10030 ,"105,863.1/sq mi",29530,10030 
11,7570,10005 ,"102,965.2/sq mi",7570,10005 
12,61806,10009 ,"100,237.0/sq mi",61806,10009 
13,60520,10033 ,"100,108.6/sq mi",60520,10033 
14,57068,10003 ,"98,998.8/sq mi",57068,10003 
15,77857,10029 ,"94,363.1/sq mi",77857,10029 
16,50112,10016 ,"94,164.6/sq mi",50112,10016 
17,79894,10002 ,"90,849.3/sq mi",79894,10002 
18,58912,10031 ,"90,523.6/sq mi",58912,10031 
19,91737,10456 ,"90,074.7/sq mi",91737,10456 
20,59069,10032 ,"89,842.8/sq mi",59069,10032 
21,4337,11109 ,"86,656.0/sq mi",4337,11109 
22,79002,10453 ,"85,787.3/sq mi",79002,10453 
23,63202,11372 ,"85,703.2/sq mi",63202,11372 
24,31761,10065 ,"82,215.9/sq mi",31761,10065 
25,52941,10011 ,"80,408.9/sq mi",52941,10011 
26,30708,10010 ,"78,604.4/sq mi",30708,10010 
27,24846,10012 ,"76,855.1/sq mi",24846,10012 
28,75252,10452 ,"76,427.7/sq mi",75252,10452 
29,98299,11226 ,"76,237.1/sq mi",98299,11226 
30,76276,10458 ,"75,597.1/sq mi",76276,10458 
31,63057,10027 ,"72,357.3/sq mi",63057,10027 
32,20997,10038 ,"70,556.6/sq mi",20997,10038 
33,59249,10024 ,"69,066.6/sq mi",59249,10024 
34,18041,10037 ,"68,340.7/sq mi",18041,10037 
35,26555,11104 ,"68,090.0/sq mi",26555,11104 
36,29699,10022 ,"68,058.9/sq mi",29699,10022 
37,5903,10282 ,"67,476.6/sq mi",5903,10282 
38,59613,11225 ,"67,444.4/sq mi",59613,11225 
39,71015,10457 ,"66,913.8/sq mi",71015,10457 
40,98719,11219 ,"66,609.4/sq mi",98719,11219 
41,72683,10468 ,"66,519.9/sq mi",72683,10468 
42,69659,10472 ,"66,309.0/sq mi",69659,10472 
43,100713,11373 ,"65,936.5/sq mi",100713,11373 
44,8817,10280 ,"63,671.9/sq mi",8817,10280 
45,83773,11221 ,"60,559.1/sq mi",83773,11221 
46,48269,10459 ,"59,083.4/sq mi",48269,10459 
47,54440,11216 ,"58,197.9/sq mi",54440,11216 
48,83180,11206 ,"57,987.2/sq mi",83180,11206 
49,62756,11213 ,"57,520.9/sq mi",62756,11213 
50,87751,11212 ,"57,057.9/sq mi",87751,11212 
51,38752,10019 ,"56,986.1/sq mi",38752,10019 
52,101715,11220 ,"56,785.4/sq mi",101715,11220 
